#This annotation file adds more informative labels for nodes, replacing the accession number with the virus' name.

LABELS

SEPARATOR TAB

DATA

LR756511	uncultured phage (LR756511)
LR756508	uncultured phage (LR756508)
LR756504	uncultured phage (LR756504)
LR756502	uncultured phage (LR756502)
LR756500	uncultured phage (LR756500)
LR745208	uncultured phage (LR745208)
LR745206	uncultured phage (LR745206)
MK250029	Prevotella phage Lak-C1 (MK250029)
MK250028	Prevotella phage Lak-B9 (MK250028)
MK250027	Prevotella phage Lak-B8 (MK250027)
MK250026	Prevotella phage Lak-B7 (MK250026)
MK250025	Prevotella phage Lak-B6 (MK250025)
MK250024	Prevotella phage Lak-B5 (MK250024)
MK250023	Prevotella phage Lak-B4 (MK250023)
MK250022	Prevotella phage Lak-B3 (MK250022)
MK250021	Prevotella phage Lak-B2 (MK250021)
MK250020	Prevotella phage Lak-B1 (MK250020)
MK250019	Prevotella phage Lak-A2 (MK250019)
MK250018	Prevotella phage Lak-A1 (MK250018)
MK250017	Prevotella phage Lak-A1 (MK250017)
MK250016	Prevotella phage Lak-A1 (MK250016)
MK250015	Prevotella phage Lak-A1 (MK250015)
MW388003	Acinetobacter phage Melin (MW388003)
MW388002	Acinetobacter phage Mokit (MW388002)
MW388001	Acinetobacter phage Minot (MW388001)
MW366783	Acinetobacter phage Pipo (MW366783)
MW349129	Staphylococcus phage Madawaska (MW349129)
MW349128	Staphylococcus phage Machias (MW349128)
MW353177	Flavobacterium phage vB_FspM_immuto_13-6C (MW353177)
MW353176	Flavobacterium phage vB_FspM_immuto_3-5A (MW353176)
MW353175	Flavobacterium phage vB_FspM_immuto_2-6A (MW353175)
MW448170	Klebsiella phage vB_KpnM_M1 (MW448170)
MW286268	Pseudomonas phage Strit (MW286268)
MW286267	Pseudomonas phage Misse (MW286267)
MW286266	Pseudomonas phage Bertil (MW286266)
MW384823	Erwinia phage pEa_SNUABM_43 (MW384823)
MW366843	Erwinia phage pEa_SNUABM_5 (MW366843)
MW354669	Bacillus phage BSTP5 (MW354669)
MW354668	Bacillus phage BSTP4 (MW354668)
MW344056	Vibrio phage ABurr (MW344056)
MW344055	Vibrio phage GRLPWR (MW344055)
MW417503	Klebsiella phage LF20 (MW417503)
MW355480	Salmonella phage ER25 (MW355480)
MW355479	Salmonella phage ER24 (MW355479)
MW355478	Salmonella phage BPS7 (MW355478)
MW355477	Salmonella phage BPS5 (MW355477)
MW355476	Salmonella phage BPS4 (MW355476)
MW355475	Salmonella phage BPS3 (MW355475)
MW355474	Salmonella phage BPS1 (MW355474)
MW355473	Salmonella phage ER9 (MW355473)
MW355472	Salmonella phage ER8 (MW355472)
MW355471	Salmonella phage ER7 (MW355471)
MW355470	Salmonella phage ER6 (MW355470)
MW355469	Salmonella phage ER5 (MW355469)
MW355468	Salmonella phage ER4 (MW355468)
MW355467	Salmonella phage ER3 (MW355467)
MW355466	Salmonella phage ER2 (MW355466)
MW355465	Salmonella phage ER23 (MW355465)
MW355464	Salmonella phage ER22 (MW355464)
MW355463	Salmonella phage ER21 (MW355463)
MW355462	Salmonella phage ER20 (MW355462)
MW355461	Salmonella phage ER1 (MW355461)
MW355460	Salmonella phage ER19 (MW355460)
MW355459	Salmonella phage ER18 (MW355459)
MW355458	Salmonella phage ER17 (MW355458)
MW355457	Salmonella phage ER16 (MW355457)
MW355456	Salmonella phage ER15 (MW355456)
MW355455	Salmonella phage ER14 (MW355455)
MW355454	Salmonella phage ER13 (MW355454)
MW355453	Salmonella phage ER12 (MW355453)
MW355452	Salmonella phage ER11 (MW355452)
MW355451	Salmonella phage ER10 (MW355451)
MW355450	Salmonella phage BPS6 (MW355450)
MW355449	Salmonella phage BPS2 (MW355449)
MW365953	Streptomyces phage Dwayne (MW365953)
MW365952	Streptomyces phage Belfort (MW365952)
MW365951	Streptomyces phage Hippo (MW365951)
MW365950	Microbacterium phage Phabia (MW365950)
MW365949	Microbacterium phage Namago (MW365949)
MW365948	Microbacterium phage CrunchyBoi (MW365948)
MW365947	Microbacterium phage PineapplePluto (MW365947)
MW365946	Microbacterium phage Rudy (MW365946)
MW390886	Pseudomonas phage AIIMS-Pa-B1 (MW390886)
MW419087	Bacillus phage 015DV004 (MW419087)
MW419086	Bacillus phage 015DV002 (MW419086)
MW419085	Bacillus phage 000TH009 (MW419085)
MW419084	Bacillus phage 000TH008 (MW419084)
MW394467	Bacillus phage 268TH004 (MW394467)
MW442830	Flavobacterium phage FPSV-D18 (MW442830)
MW442829	Flavobacterium phage FPSV-D16 (MW442829)
MW442828	Flavobacterium phage FPSV-D13 (MW442828)
MW442827	Flavobacterium phage FPSV-D12 (MW442827)
MW442826	Flavobacterium phage FPSV-D9 (MW442826)
MW442825	Flavobacterium phage FPSV-D5 (MW442825)
