#This annotation file adds bars which indicate the length of the viral genome.

DATASET_SIMPLEBAR

SEPARATOR TAB

DATASET_LABEL	Genome Length (KB)

COLOR	#3186f5

WIDTH	100

DATA

LR756511	595.163
LR756508	484.177
LR756504	636.363
LR756502	642.428
LR756500	462.018
LR745208	485.034
LR745206	634.78
MK250029	540.217
MK250028	550.053
MK250027	551.627
MK250026	550.702
MK250025	546.689
MK250024	543.529
MK250023	550.552
MK250022	546.746
MK250021	549.839
MK250020	547.991
MK250019	541.299
MK250018	541.644
MK250017	541.724
MK250016	541.643
MK250015	541.664
MW388003	167.969
MW388002	167.638
MW388001	167.029
MW366783	41.956
MW349129	265.446
MW349128	274.478
MW353177	160.366
MW353176	160.366
MW353175	160.41
MW448170	176.329
MW286268	41.373
MW286267	41.342
MW286266	41.374
MW384823	241.904
MW366843	267.169
MW354669	55.448
MW354668	19.145
MW344056	126.843
MW344055	128.336
MW417503	50.107
MW355480	41.727
MW355479	60.438
MW355478	158.348
MW355477	157.674
MW355476	58.529
MW355475	157.578
MW355474	58.852
MW355473	42.664
MW355472	42.863
MW355471	42.664
MW355470	58.872
MW355469	42.663
MW355468	42.848
MW355467	58.971
MW355466	42.848
MW355465	43.125
MW355464	42.948
MW355463	42.503
MW355462	42.844
MW355461	42.847
MW355460	58.344
MW355459	42.862
MW355458	42.848
MW355457	43.078
MW355456	42.846
MW355455	42.841
MW355454	43.078
MW355453	42.843
MW355452	42.84
MW355451	42.665
MW355450	157.347
MW355449	58.526
MW365953	51.582
MW365952	128.959
MW365951	51.566
MW365950	61.802
MW365949	61.793
MW365948	53.8
MW365947	53.868
MW365946	61.769
MW390886	37.578
MW419087	156.577
MW419086	153.882
MW419085	155.191
MW419084	155.246
MW394467	52.834
MW442830	90.238
MW442829	91.725
MW442828	91.725
MW442827	91.725
MW442826	91.725
MW442825	91.725
MW419775	18.642
MW387018	50.268
MW413353	47.119
MW388005	149.831
MW406974	65.936
MW363799	17.056
MW363798	144.592
MT745956	39.355
MT745955	40.353
MT745954	38.554
MW247147	28.622
MW247145	26.487
MW247144	26.486
MW247146	19.749
MW247143	19.298
MT966873	40.562
MT966872	39.383
